id: 1
name: default
displayName: "Default"
category: weapon

description: "you shouldn't be here"

model: "default.gltf"
moveset: "default_moveset.gltf"
hitbox = {
	type: sphere
	radius: 0.2
	offset: [0, 1.0, 0]
}

weaponType: melee
twoHanded: 0

baseDamage: 12
range: 1.0

sfxHit = "punch_hit.ogg"
sfxSwing = "punch.ogg"
sfxBlock = "punch_hit.ogg"
sfxParry = "punch_hit.ogg"

attacks: [
	{
		type: light
		index: 0
		animName: attack_light1
		damageFramesStart: 4
		damageFramesEnd: 8
		followUpCancelFrame: 14
		staminaCost: 2.0
	},
	{
		type: light
		index: 1
		animName: attack_light2
		damageFramesStart: 4
		damageFramesEnd: 8
		followUpCancelFrame: 14
		staminaCost: 2.0
	},
	{
		type: heavy
		index: 0
		animName: attack_heavy1
		damageFramesStart: 12
		damageFramesEnd: 15
		followUpCancelFrame: 19
		staminaCost: 3.5
		damageMultiplier = 1.5
	},
	{
		type: heavy
		index: 1
		animName: attack_heavy2
		damageFramesStart: 12
		damageFramesEnd: 15
		followUpCancelFrame: 19
		staminaCost: 3.5
		damageMultiplier = 1.5
	}
]

shieldDamageAbsorption = 50
shieldHitStaminaCost = 4
parryFramesDelay = 5
parryFramesCount = 4
